Country Name,Capitol City,Population,GDP,COVID-19 Cases,COVID-19 Deaths
United Kingdom,London,66488991,2.83E+12,327798,41449
Myanmar,Nay Pyi Taw,53708395,71214803378,504,6
Montenegro,Podgorica,622345,5452173041,4444,87
Philippines,Manila,106651922,3.31E+11,197164,3038
Jordan,Amman,9956011,42290832158,1716,14
Madagascar,Antananarivo,26262368,12100459087,14475,178
Mali,Bamako,19077690,17196688920,2713,125
Botswana,Gaborone,2254126,18616018903,1562,3
Sri Lanka,Colombo,21670000,88900770858,2971,12
Mauritania,Nouakchott,4403319,5365868725,6928,158
Azerbaijan,Baku,9942334,46939529412,35559,521
Tunisia,Tunis,11565204,39860715814,3069,71
United States,Washington,327167434,2.05E+13,5779028,178486
Thailand,Bangkok,69428524,5.05E+11,3403,58
Morocco,Rabat,36029138,1.18E+11,54528,955
Colombia,Bogota,49648685,3.30E+11,562128,17889
Armenia,Yerevan,2951776,12433089919,42936,858
India,New Delhi,1352617328,2.73E+12,3234474,59449
Belarus,Minsk,9485386,59662495092,70727,652
Turkey,Ankara,82319724,7.67E+11,261194,6163
Palestinian Territories,East Jerusalem,4550000,14500000000,26162,150
Singapore,Singapur,5638676,3.64E+11,56435,27
Kenya,Nairobi,51393010,87908262520,32803,559
Israel,Jerusalem,8883800,3.70E+11,107078,859
Nigeria,Abuja,195874740,3.97E+11,52800,1007
Nicaragua,Managua,6465513,13117859222,4494,137
Costa Rica,San Jose,4999441,60126014829,35305,376
Burkina Faso,Ouagadougou,19751535,14441763759,1352,55
Uganda,Kampala,42723139,27476945526,2426,25
Dominican Republic,Santo Domingo,10627165,81298585403,92217,1585
Switzerland,Berne,8516543,7.06E+11,40161,1722
Sierra Leone,Freetown,7650154,3999945202,2001,69
Estonia,Tallinn,1320884,30284890757,2294,64
Germany,Berlin,82927922,4.00E+12,236429,9280
Ecuador,Quito,17084357,1.08E+11,109030,6368
Taiwan Province of China,Taipei,23577271,1.31E+12,487,7
Cambodia,Phnom Penh,16249798,24571753583,273,0
Panama,Panama City,4176873,65055100000,88381,1919
Kazakhstan,Astana,18276499,1.71E+11,127462,1781
Senegal,Dakar,15854360,24129599552,13056,274
Malta,Valletta,483530,14542039605,1705,10
Jamaica,Kingston,2934855,15717858487,1732,19
Malaysia,Kuala Lumpur,31528585,3.54E+11,9285,125
Kyrgyzstan,Bishkek,6315800,8092836609,43358,1057
Moldova,Chisinau,3545883,11309082555,34358,960
Haiti,Port-au-Prince,11123176,9658084644,8112,196
Argentina,Buenos Aires,44494502,5.18E+11,359625,7563
Peru,Lima,31989256,2.22E+11,607382,28001
Brazil,Brasilia,209469333,1.87E+12,3669995,116580
Russia,Moscow,144478050,1.66E+12,966189,16568
Republic of the Congo,Brazzaville,5244363,11263682694,3979,78
Finland,Helsinki,5518050,2.76E+11,7981,335
Vietnam,Hanoi,95540395,2.45E+11,1029,27
Sudan,Khartoum,41801533,40851536134,12974,819
Tajikistan,Dushanbe,9100837,7522947810,8379,67
Bolivia,Sucre,11353142,40287647757,110999,4664
South Sudan,Juba,10975920,18435000000,2507,47
Albania,Tirana,2866376,15058879129,8759,259
Czech Republic,Prague,10625695,2.44E+11,22548,416
Saudi Arabia,Riyadh,33699947,7.82E+11,309768,3722
Hungary,Budapest,9768785,1.56E+11,5215,614
Democratic Republic of the Congo,Kinshasa,84068091,47227535291,9891,251
Latvia,Riga,1926542,34849078086,1342,33
Guatemala,Guatemala City,17247807,78460447920,69651,2630
Bangladesh,Dhaka,161356039,2.74E+11,299628,4028
Nepal,Kathmandu,28087871,28812491892,33533,164
Macedonia,Skopje,2103721,33822000000,13673,568
Tanzania,Dodoma,56318348,57437073927,509,21
Ethiopia,Addis Ababa,109224559,84355462494,43688,709
Luxembourg,Luxembourg,607728,69487922619,7838,124
China,Beijing,1392730000,1.36E+13,89752,4712
Honduras,Tegucigalpa,9587522,23803230473,55479,1683
France,Paris,66987244,2.78E+12,248158,30544
Uzbekistan,Tashkent,32955400,50499920318,39790,289
Indonesia,Jakarta,267663435,1.04E+12,157859,6858
Venezuela,Caracas,28870195,76458000000,41158,343
El Salvador,San Salvador,6420744,26056950000,24986,687
New Zealand,Wellington,4885500,2.05E+11,1344,22
Lithuania,Vilnius,2789533,53251369047,2694,85
Slovenia,Ljubljana,2067372,54235484383,2686,128
Japan,Tokyo,126529100,4.97E+12,63822,1209
Norway,Oslo,5314336,4.35E+11,10395,264
Iraq,Baghdad,38433600,2.26E+11,211947,6596
Italy,Rome,60431283,2.07E+12,261174,35445
Lesotho,Maseru,2108132,2791762880,1049,30
Cyprus,Nicosia,1189265,24469841832,1474,21
United Arab Emirates,Abu Dhabi,9630959,4.14E+11,67621,377
Rwanda,Kigali,12301939,9509003197,3537,15
Lebanon,Beirut,6848925,56639155556,13687,138
Paraguay,Asuncion,6956071,40842341774,14228,231
Uruguay,Montevideo,3449299,59596885024,1536,43
Zambia,Lusaka,17351822,26720073436,11285,282
South Korea,Seoul,51709098,2.24E+12,18265,312
South Africa,Pretoria,57779622,3.66E+11,613017,13308
Benin,Porto-Novo,11485048,10358985583,2115,39
Yemen,Sanaa,28498687,26914402224,1924,557
Libya,Tripolis,6678567,48319620013,11281,203
Mongolia,Ulan Bator,3170208,13009574621,300,0
Belize,Belmopan,408487,3343000000,730,10
Canada,Ottawa,37058856,1.71E+12,125969,9090
Sweden,Stockholm,10183175,5.51E+11,86891,5814
Slovak Republic,Bratislava,5447011,1.06E+11,3452,33
Malawi,Lilongwe,18143315,7064971176,5423,170
